coordinate,sigma_k_over_m,L,origin_charge_lower_envelope,origin_envelope_positive
GC,0.4,3.0,-2.551233765445592,False
GC,0.4,4.0,-5.144804613129498,False
GC,0.4,6.0,-12.580884089969498,False
GC,0.4,8.0,-22.971956581614382,False
GC,0.4,12.0,-52.57276321591659,False
GC,0.4,16.0,-93.91691360754837,False
GC,0.4,24.0,-211.8224387868708,False
GC,0.5,0.25,0.7049461139749348,True
GC,0.5,0.5,0.44765219545822543,True
GC,0.5,1.0,-0.02523253669926051,False
GC,0.5,2.0,-2.015336278776899,False
GC,0.5,3.0,-5.479844602654341,False
GC,0.5,4.0,-10.337797576564649,False
GC,0.5,6.0,-24.1584733502725,False
GC,0.5,8.0,-43.42445294980902,False
GC,0.5,12.0,-98.26657181014681,False
GC,0.5,16.0,-174.84803866270695,False
GC,0.5,24.0,-393.2228901464386,False
